timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.0346,1.1593,1.5611,2.6368,3.0864,1.8869,3.1760,5.7506,-1.2611,-0.0080,1.6507,1.4418,1.0875,1.7872
0.1,0.0339,1.1682,1.5733,2.6397,3.0842,1.8876,3.1761,5.7504,-1.2634,-0.0080,1.6434,1.4412,1.0872,1.7869
0.2,0.0332,1.1762,1.5843,2.6422,3.0824,1.8881,3.1761,5.7502,-1.2643,-0.0080,1.6352,1.4408,1.0870,1.7866
0.3,0.0323,1.1834,1.5941,2.6443,3.0809,1.8885,3.1761,5.7500,-1.2640,-0.0080,1.6265,1.4404,1.0868,1.7864
0.4,0.0315,1.1898,1.6030,2.6460,3.0797,1.8888,3.1762,5.7498,-1.2631,-0.0080,1.6179,1.4401,1.0867,1.7862
0.5,0.0306,1.1957,1.6110,2.6476,3.0788,1.8891,3.1762,5.7497,-1.2619,-0.0080,1.6096,1.4399,1.0866,1.7861
0.6,0.0298,1.2009,1.6181,2.6488,3.0781,1.8893,3.1762,5.7495,-1.2616,-0.0080,1.6019,1.4397,1.0865,1.7860
0.7,0.0286,1.2056,1.6246,2.6499,3.0775,1.8895,3.1775,5.7494,-1.2618,-0.0080,1.5953,1.4396,1.0864,1.7859
0.8,0.0276,1.2099,1.6304,2.6663,3.0686,1.8896,3.1798,5.7493,-1.2603,-0.0080,1.5897,1.4345,1.0863,1.7858
0.9,0.0267,1.2117,1.6357,2.6973,3.0569,1.8950,3.1816,5.7492,-1.2591,-0.0080,1.5849,1.4355,1.0802,1.7928
1.0,0.0258,1.2102,1.6388,2.7361,3.0475,1.8994,3.1830,5.7491,-1.2579,-0.0080,1.5808,1.4442,1.0779,1.8010
1.1,0.0251,1.2067,1.6412,2.7778,3.0400,1.8967,3.1842,5.7490,-1.2569,-0.0080,1.5774,1.4625,1.0815,1.8094
