timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.5363,0.0123,0.2336,1.1926,0.1289,-0.0004,0.0162,0.3079,0.0289,0.1235,0.8252,0.0178,0.017,0.0371
0.1,0.5567,0.0369,0.2487,1.2131,0.1526,0.0209,0.0372,0.327,0.0521,0.1456,0.8413,0.0384,0.037,0.0623
0.2,0.5789,0.0528,0.2695,1.2336,0.1713,0.0409,0.0589,0.3493,0.0716,0.1654,0.8614,0.0593,0.0576,0.0764
0.3,0.5954,0.0691,0.2876,1.2503,0.1903,0.0593,0.0721,0.3672,0.0925,0.1778,0.8801,0.0764,0.0776,0.0995
0.4,0.6115,0.0865,0.304,1.2687,0.2109,0.0743,0.0905,0.3801,0.1034,0.1963,0.8982,0.0928,0.0925,0.1144
0.5,0.6232,0.0998,0.3183,1.2789,0.2168,0.087,0.102,0.3913,0.1205,0.209,0.9101,0.1053,0.1029,0.1246
0.6,0.6324,0.1094,0.3289,1.2889,0.2297,0.0959,0.1103,0.3999,0.1302,0.2161,0.9183,0.1149,0.1123,0.134
0.7,0.636,0.111,0.3304,1.2894,0.2301,0.0998,0.1173,0.4071,0.1295,0.2211,0.9228,0.121,0.1151,0.1437
0.8,0.6364,0.1105,0.3291,1.291,0.2344,0.0989,0.116,0.4071,0.1317,0.2215,0.9217,0.1192,0.1177,0.1409
0.9,0.6337,0.1034,0.3244,1.2862,0.2263,0.095,0.1115,0.4047,0.1284,0.2224,0.9181,0.1134,0.1114,0.1412
1.0,0.6216,0.0988,0.3201,1.2796,0.212,0.0872,0.1044,0.3926,0.1151,0.2105,0.9097,0.1052,0.1028,0.1278
1.1,0.6132,0.0899,0.3025,1.2673,0.2009,0.0739,0.0895,0.3813,0.1042,0.1934,0.8964,0.0921,0.0892,0.1111
1.2,0.5951,0.0685,0.2899,1.25,0.1876,0.0596,0.0752,0.3629,0.0877,0.182,0.8842,0.0787,0.0749,0.1046
1.3,0.5774,0.0521,0.2726,1.2325,0.1673,0.0398,0.0588,0.3436,0.0681,0.1662,0.861,0.0561,0.0568,0.0791
1.4,0.5556,0.035,0.2481,1.2141,0.1522,0.0206,0.0379,0.3271,0.0556,0.1442,0.8445,0.0401,0.0384,0.068
1.5,0.5364,0.0112,0.2279,1.1928,0.124,0.0008,0.0171,0.3084,0.0335,0.1266,0.8235,0.0213,0.0186,0.0438
1.6,0.516,-0.0085,0.2102,1.1715,0.1121,-0.021,-0.0049,0.2902,0.0107,0.1014,0.8027,-0.0012,-0.0034,0.0215
1.7,0.4962,-0.0287,0.1917,1.1514,0.0823,-0.0395,-0.0242,0.2684,-0.0084,0.0811,0.7816,-0.0218,-0.0237,-0.0026
1.8,0.478,-0.0481,0.1704,1.134,0.0623,-0.0586,-0.0423,0.2483,-0.0233,0.0658,0.7628,-0.0402,-0.0434,-0.0163
1.9,0.4624,-0.0596,0.159,1.1166,0.0539,-0.0749,-0.0589,0.2326,-0.0398,0.0514,0.7472,-0.0553,-0.0593,-0.041
2.0,0.449,-0.074,0.1429,1.1043,0.0523,-0.0874,-0.0689,0.2221,-0.0493,0.0354,0.7365,-0.0677,-0.0722,-0.044
2.1,0.4429,-0.0846,0.1332,1.0982,0.0346,-0.0951,-0.0822,0.2119,-0.0665,0.0303,0.7294,-0.075,-0.079,-0.0591
2.2,0.438,-0.084,0.1321,1.0952,0.0349,-0.0983,-0.0856,0.2067,-0.064,0.0237,0.725,-0.0804,-0.0852,-0.0586
2.3,0.4374,-0.087,0.133,1.0923,0.0322,-0.0994,-0.0868,0.2105,-0.071,0.0257,0.7219,-0.0827,-0.0828,-0.0584
2.4,0.4441,-0.082,0.1307,1.0976,0.0343,-0.0947,-0.0756,0.2123,-0.0653,0.0296,0.727,-0.0754,-0.0784,-0.0537
2.5,0.7868,0.2525,-0.5059,1.8152,-0.2019,0.0784,-0.0467,1.2,-0.2116,0.5883,1.4767,0.2734,-0.1782,-0.0037
2.6,0.7847,0.2678,-0.4945,1.8156,-0.1934,0.1009,-0.041,1.2281,-0.2038,0.6011,1.4924,0.2965,-0.157,0.0156
2.7,0.8077,0.3005,-0.4862,1.8316,-0.1798,0.1069,-0.0271,1.2317,-0.1774,0.6158,1.5036,0.3058,-0.1447,0.0211
2.8,0.8259,0.2946,-0.4585,1.8546,-0.1593,0.1239,-0.0062,1.2524,-0.1588,0.6281,1.5258,0.3267,-0.1267,0.0406
2.9,0.8516,0.3193,-0.4429,1.8761,-0.1392,0.1451,0.0255,1.2845,-0.1439,0.6576,1.5433,0.3328,-0.109,0.0657
3.0,0.8669,0.3487,-0.4221,1.9012,-0.1155,0.1829,0.0433,1.2984,-0.1189,0.6716,1.567,0.3681,-0.0802,0.0891
3.1,0.8875,0.3666,-0.4019,1.9194,-0.0901,0.195,0.06,1.3284,-0.1005,0.6926,1.589,0.3867,-0.0619,0.1153
3.2,0.9103,0.3845,-0.3776,1.9215,-0.074,0.2161,0.0825,1.3368,-0.0818,0.7148,1.6044,0.4144,-0.0453,0.1249
3.3,0.932,0.4017,-0.3663,1.9458,-0.0608,0.2302,0.1011,1.3395,-0.0681,0.7285,1.6305,0.42,-0.0261,0.1424
3.4,0.9495,0.4241,-0.3449,1.9704,-0.0318,0.2436,0.1211,1.3704,-0.0428,0.7502,1.6364,0.4429,-0.0105,0.167
3.5,0.9659,0.43,-0.3338,1.9689,-0.0217,0.2582,0.1283,1.3873,-0.0339,0.7632,1.6526,0.4422,-0.0005,0.1734
3.6,0.9625,0.4392,-0.3235,1.9973,-0.0118,0.2557,0.1313,1.3984,-0.0298,0.768,1.6624,0.465,0.0095,0.1743
3.7,0.9729,0.4387,-0.3232,1.9885,-0.0069,0.2588,0.1445,1.3986,-0.0175,0.7711,1.6662,0.4615,0.0159,0.1904
3.8,0.9669,0.4479,-0.3248,1.9962,-0.0221,0.2741,0.1435,1.39,-0.0259,0.7676,1.6685,0.4776,0.0101,0.1849
3.9,0.9577,0.4448,-0.3267,1.9971,-0.0088,0.26,0.1385,1.3926,-0.028,0.7688,1.6622,0.4559,0.0094,0.1811
4.0,0.9509,0.4268,-0.3332,1.9781,-0.0249,0.2654,0.132,1.3785,-0.0316,0.7697,1.6548,0.4517,0.0005,0.172
4.1,0.9568,0.4292,-0.3509,1.9739,-0.0367,0.2436,0.1143,1.3743,-0.0579,0.7457,1.6391,0.4457,-0.0122,0.1614
4.2,0.933,0.4124,-0.3669,1.9608,-0.0547,0.2468,0.098,1.3485,-0.0695,0.7284,1.6298,0.4256,-0.0255,0.1441
4.3,0.9157,0.3826,-0.3808,1.927,-0.0743,0.2221,0.0898,1.3348,-0.0886,0.7085,1.6074,0.3985,-0.0418,0.1198
4.4,0.8969,0.3659,-0.401,1.8991,-0.09,0.1877,0.0587,1.3143,-0.106,0.6977,1.5839,0.3855,-0.0722,0.1169
4.5,0.8739,0.3423,-0.4202,1.8759,-0.1111,0.191,0.0404,1.2908,-0.1229,0.6793,1.5661,0.3665,-0.0846,0.0908
4.6,0.8513,0.3229,-0.4421,1.8738,-0.1225,0.1433,0.0194,1.2894,-0.1344,0.6493,1.5408,0.3354,-0.1111,0.0689
4.7,0.8158,0.2998,-0.4649,1.8495,-0.1503,0.1352,0.0044,1.2611,-0.1624,0.6285,1.5267,0.3325,-0.1253,0.0403
4.8,0.8102,0.2949,-0.4796,1.8297,-0.1759,0.1197,-0.0166,1.2454,-0.1857,0.615,1.5052,0.2926,-0.1467,0.026
4.9,0.7949,0.2723,-0.4917,1.8153,-0.1834,0.093,-0.0279,1.2167,-0.1992,0.6027,1.489,0.2909,-0.1618,0.0089
5.0,1.4145,1.4011,-0.7709,1.9165,0.6791,0.6991,0.4906,1.3793,-1.3375,0.7799,1.9062,-0.7464,-0.7205,-0.4657
5.1,1.4193,1.3859,-0.7725,1.8998,0.6634,0.6942,0.4825,1.3748,-1.3543,0.7942,1.9119,-0.7614,-0.7386,-0.4953
5.2,1.4183,1.3778,-0.7884,1.8965,0.6528,0.6849,0.4787,1.3675,-1.3429,0.7903,1.9063,-0.7524,-0.7269,-0.4973
5.3,1.4121,1.3768,-0.7909,1.928,0.6515,0.6887,0.4727,1.36,-1.3546,0.7918,1.909,-0.7621,-0.7463,-0.5027
5.4,1.4099,1.3859,-0.7807,1.9191,0.6527,0.6931,0.4664,1.3608,-1.3526,0.806,1.9199,-0.7633,-0.721,-0.4756
5.5,1.429,1.3946,-0.756,1.9281,0.6689,0.6978,0.4807,1.3708,-1.3359,0.8101,1.9047,-0.7471,-0.7413,-0.4886
5.6,1.4447,1.3898,-0.7578,1.9367,0.68,0.7184,0.5058,1.3869,-1.3585,0.8232,1.9422,-0.7387,-0.722,-0.4637
5.7,1.4589,1.4197,-0.7315,1.9277,0.6934,0.7296,0.5138,1.4102,-1.296,0.8303,1.9155,-0.7347,-0.7056,-0.4611
5.8,1.4678,1.4495,-0.7178,1.9559,0.7156,0.7423,0.5363,1.4233,-1.3075,0.8529,1.9436,-0.7004,-0.6739,-0.4369
5.9,1.4983,1.451,-0.7008,2.0,0.7351,0.7765,0.5456,1.4534,-1.2672,0.8694,2.0,-0.6877,-0.6676,-0.4199
6.0,1.5208,1.4778,-0.6745,1.9966,0.7555,0.78,0.5843,1.4761,-1.2683,0.8872,2.0,-0.6692,-0.6347,-0.409
6.1,1.5451,1.5049,-0.6551,2.0,0.777,0.7955,0.5936,1.4792,-1.2599,0.9176,2.0,-0.6422,-0.6144,-0.3766
6.2,1.5515,1.5186,-0.6512,2.0,0.7944,0.8,0.6,1.4938,-1.2105,0.9334,2.0,-0.6125,-0.6071,-0.3619
6.3,1.57,1.5201,-0.6093,2.0,0.8,0.8,0.6,1.5162,-1.1881,0.9485,2.0,-0.6007,-0.5874,-0.3432
6.4,1.57,1.5493,-0.5995,2.0,0.8,0.8,0.6,1.5425,-1.181,0.9623,2.0,-0.5868,-0.5692,-0.3194
6.5,1.57,1.5682,-0.6049,2.0,0.8,0.8,0.6,1.5514,-1.2047,0.9781,2.0,-0.5809,-0.5532,-0.3124
6.6,1.57,1.5661,-0.5845,2.0,0.8,0.8,0.6,1.5501,-1.1658,0.9811,2.0,-0.5589,-0.5482,-0.2958
6.7,1.57,1.57,-0.5873,2.0,0.8,0.8,0.6,1.5684,-1.1693,0.9943,2.0,-0.5638,-0.5424,-0.3026
6.8,1.57,1.5697,-0.5724,2.0,0.8,0.8,0.6,1.57,-1.1943,0.9946,2.0,-0.5697,-0.5391,-0.3014
6.9,1.57,1.57,-0.5795,2.0,0.8,0.8,0.6,1.5613,-1.1491,0.9865,2.0,-0.5685,-0.5398,-0.3001
7.0,1.57,1.5633,-0.576,2.0,0.8,0.8,0.6,1.5573,-1.1721,0.9825,2.0,-0.5852,-0.5441,-0.3075
7.1,1.57,1.57,-0.602,2.0,0.8,0.8,0.6,1.5206,-1.1988,0.9623,2.0,-0.5775,-0.5717,-0.3483
7.2,1.57,1.5321,-0.6259,2.0,0.8,0.8,0.6,1.5143,-1.2274,0.9465,2.0,-0.5948,-0.5776,-0.3409
7.3,1.5594,1.5087,-0.6428,2.0,0.7965,0.8,0.6,1.5079,-1.2087,0.9282,2.0,-0.6104,-0.6024,-0.3523
7.4,1.5344,1.5038,-0.6577,2.0,0.7844,0.8,0.5855,1.4803,-1.2236,0.919,2.0,-0.6467,-0.6223,-0.3668
7.5,0.2489,-0.4967,0.6,0.4501,0.3377,-0.27,0.2619,0.9569,0.8057,-0.1883,1.7555,-0.3681,0.469,-0.1361
7.6,0.2301,-0.5176,0.594,0.423,0.3194,-0.298,0.2438,0.9381,0.785,-0.2095,1.7392,-0.3936,0.4489,-0.1689
