timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.5065,-0.0001,0.1987,1.2033,0.1047,0.0043,0.0014,0.3072,-0.0044,0.1055,0.798,-0.0025,0.0033,0.0043
0.1,0.5272,0.0216,0.2202,1.2252,0.1273,0.0245,0.0214,0.3292,0.0159,0.1273,0.8205,0.0185,0.0239,0.025
0.2,0.5469,0.0402,0.2398,1.2439,0.146,0.0455,0.0431,0.3484,0.0364,0.146,0.84,0.038,0.0439,0.0451
0.3,0.5651,0.0603,0.2594,1.2628,0.1643,0.0636,0.0604,0.3668,0.0551,0.1651,0.8586,0.0579,0.0618,0.0631
0.4,0.5809,0.0752,0.2743,1.2778,0.1806,0.079,0.075,0.3814,0.0693,0.1796,0.8757,0.0733,0.0777,0.0785
0.5,0.5929,0.0877,0.2871,1.2912,0.1928,0.0903,0.0869,0.3947,0.0808,0.1917,0.8857,0.0835,0.0896,0.0909
0.6,0.6017,0.0958,0.295,1.2984,0.2018,0.098,0.0974,0.4022,0.0903,0.1998,0.8948,0.0938,0.0983,0.0995
0.7,0.6058,0.0998,0.2988,1.303,0.2056,0.1049,0.1017,0.4074,0.0948,0.2042,0.8999,0.0978,0.1027,0.1038
0.8,0.6061,0.1007,0.3002,1.3037,0.2032,0.1032,0.0994,0.4065,0.0958,0.2052,0.8998,0.0981,0.1025,0.1038
0.9,0.6014,0.0949,0.2955,1.2974,0.1997,0.0993,0.0973,0.4021,0.0905,0.2009,0.8958,0.0926,0.0988,0.0995
1.0,0.593,0.0855,0.2853,1.2908,0.1905,0.0911,0.0877,0.3936,0.0813,0.1925,0.8865,0.0851,0.0903,0.0909
1.1,0.5809,0.0763,0.2745,1.2769,0.1768,0.0781,0.0753,0.3821,0.0691,0.1794,0.8745,0.0719,0.0773,0.0787
1.2,0.5649,0.0592,0.2586,1.2626,0.1637,0.0619,0.0579,0.3667,0.0552,0.1635,0.8579,0.0564,0.0622,0.0631
1.3,0.547,0.0409,0.2403,1.2432,0.1447,0.0446,0.0415,0.3476,0.0361,0.1469,0.8388,0.0374,0.0439,0.0449
1.4,0.5272,0.0221,0.2211,1.2273,0.1228,0.0266,0.0227,0.329,0.0149,0.1266,0.8216,0.0186,0.024,0.0252
1.5,0.5066,0.0011,0.2005,1.2043,0.1056,0.0043,0.0021,0.3085,-0.0035,0.1069,0.7994,-0.0018,0.0031,0.0043
1.6,0.4856,-0.0199,0.179,1.182,0.0831,-0.0169,-0.0196,0.2873,-0.0263,0.0857,0.78,-0.0236,-0.0175,-0.0164
1.7,0.4658,-0.0394,0.1589,1.1633,0.0639,-0.0369,-0.0375,0.2666,-0.0449,0.0651,0.7594,-0.0428,-0.0377,-0.0364
1.8,0.4476,-0.0577,0.1406,1.1451,0.0471,-0.0554,-0.0587,0.2482,-0.0629,0.0472,0.7407,-0.0596,-0.0556,-0.0545
1.9,0.4321,-0.0739,0.126,1.1285,0.032,-0.0704,-0.0735,0.2337,-0.0775,0.0309,0.7258,-0.0764,-0.071,-0.07
2.0,0.4199,-0.0861,0.1136,1.1172,0.0193,-0.0816,-0.0849,0.2214,-0.0905,0.0187,0.7126,-0.088,-0.0837,-0.0823
2.1,0.4115,-0.0941,0.1036,1.1097,0.0094,-0.0914,-0.0935,0.2131,-0.0998,0.0105,0.7058,-0.098,-0.0917,-0.0909
2.2,0.4068,-0.0994,0.1001,1.1051,0.0053,-0.0948,-0.0991,0.2087,-0.1045,0.006,0.7011,-0.1007,-0.0961,-0.0951
2.3,0.4072,-0.0994,0.0999,1.104,0.0065,-0.0939,-0.0988,0.2082,-0.1037,0.0065,0.7004,-0.0991,-0.0961,-0.0952
2.4,0.4113,-0.096,0.1051,1.1087,0.0103,-0.091,-0.0937,0.2115,-0.1011,0.0104,0.7057,-0.0968,-0.092,-0.0908
2.5,0.714,0.2076,-0.4841,1.7157,-0.2762,0.0067,-0.0853,1.1128,-0.2897,0.5198,1.4214,0.2151,-0.1745,-0.0715
2.6,0.7296,0.2198,-0.4725,1.73,-0.2649,0.02,-0.0728,1.125,-0.2773,0.5299,1.4322,0.2265,-0.1624,-0.0595
2.7,0.7432,0.2352,-0.4564,1.745,-0.2491,0.0357,-0.0572,1.1407,-0.2618,0.5454,1.4473,0.2425,-0.1458,-0.0447
2.8,0.7614,0.2532,-0.437,1.7641,-0.2304,0.0521,-0.0399,1.1589,-0.2435,0.5626,1.4653,0.2611,-0.1281,-0.027
2.9,0.7827,0.2732,-0.4187,1.7824,-0.2115,0.074,-0.0198,1.1785,-0.2237,0.5847,1.4868,0.2796,-0.1083,-0.0083
3.0,0.8014,0.2937,-0.3961,1.8047,-0.1895,0.0939,0.0015,1.1996,-0.203,0.6052,1.5051,0.3013,-0.0859,0.0152
3.1,0.8241,0.3148,-0.3732,1.8248,-0.1684,0.1154,0.0224,1.2206,-0.1822,0.6232,1.5288,0.321,-0.066,0.035
3.2,0.8435,0.3346,-0.357,1.8426,-0.1489,0.1334,0.0413,1.2401,-0.1623,0.6433,1.5485,0.3421,-0.046,0.0551
3.3,0.861,0.3528,-0.3371,1.864,-0.1311,0.152,0.0604,1.2584,-0.1442,0.6632,1.5648,0.3593,-0.0285,0.0728
3.4,0.8757,0.3682,-0.3228,1.8773,-0.1126,0.1673,0.075,1.2739,-0.1286,0.6787,1.5821,0.3758,-0.0123,0.0881
3.5,0.8881,0.3806,-0.3083,1.8903,-0.1027,0.1802,0.0872,1.2857,-0.1164,0.6908,1.592,0.3869,-0.0015,0.1001
3.6,0.8957,0.3892,-0.3004,1.8983,-0.0933,0.1889,0.0962,1.2949,-0.1078,0.698,1.6021,0.3959,0.0082,0.1084
3.7,0.9027,0.3934,-0.2969,1.9046,-0.0898,0.1929,0.1004,1.2989,-0.1036,0.7045,1.6054,0.4002,0.0123,0.113
3.8,0.9016,0.3932,-0.2956,1.9016,-0.0902,0.1931,0.1017,1.2991,-0.1036,0.7026,1.6059,0.4003,0.011,0.1134
3.9,0.8978,0.3889,-0.3014,1.8965,-0.0952,0.1888,0.097,1.2949,-0.1079,0.6991,1.6014,0.3954,0.0075,0.1087
4.0,0.8898,0.3806,-0.3102,1.8905,-0.1033,0.1803,0.0884,1.2861,-0.1163,0.692,1.5954,0.3873,-0.0011,0.1017
4.1,0.8774,0.3685,-0.3216,1.8782,-0.1157,0.1685,0.0748,1.2738,-0.1287,0.6784,1.5817,0.3754,-0.0126,0.0891
4.2,0.8604,0.3527,-0.338,1.8622,-0.1308,0.1532,0.0603,1.2584,-0.1443,0.6641,1.5659,0.3599,-0.0301,0.0728
4.3,0.8434,0.3346,-0.3576,1.8464,-0.149,0.1346,0.0422,1.2401,-0.1623,0.6488,1.5484,0.3405,-0.0461,0.0559
4.4,0.8238,0.3147,-0.376,1.8232,-0.1695,0.1157,0.0216,1.2204,-0.1823,0.6245,1.5281,0.3223,-0.0661,0.0351
4.5,0.8022,0.2939,-0.3979,1.805,-0.1894,0.0949,0.0017,1.1996,-0.2031,0.6042,1.5064,0.3011,-0.0879,0.0132
4.6,0.782,0.2734,-0.4165,1.7817,-0.2107,0.0738,-0.0192,1.1786,-0.2238,0.5834,1.4875,0.2796,-0.1079,-0.0072
4.7,0.7601,0.2531,-0.4382,1.764,-0.2296,0.0533,-0.0403,1.1587,-0.2436,0.5635,1.4663,0.2598,-0.1292,-0.0267
4.8,0.7435,0.2354,-0.4572,1.745,-0.2464,0.0351,-0.0584,1.1407,-0.2617,0.5459,1.4498,0.2417,-0.1449,-0.0451
4.9,0.7271,0.2198,-0.4715,1.728,-0.2651,0.0189,-0.0731,1.1252,-0.2773,0.5307,1.4327,0.2268,-0.1607,-0.06
5.0,1.318,1.3099,-0.8869,1.8271,0.6228,0.6235,0.4175,1.3258,-1.4759,0.7183,1.8238,-0.7722,-0.7871,-0.5832
5.1,1.3136,1.3011,-0.8942,1.8219,0.6144,0.6091,0.4093,1.3176,-1.4844,0.7105,1.8136,-0.7772,-0.7942,-0.5902
5.2,1.3046,1.2971,-0.8962,1.8164,0.6079,0.6075,0.4049,1.3129,-1.4889,0.7054,1.8096,-0.7843,-0.7994,-0.6
5.3,1.309,1.2965,-0.9007,1.8126,0.6089,0.6115,0.4058,1.3111,-1.4887,0.7078,1.811,-0.782,-0.8,-0.5975
5.4,1.3126,1.2997,-0.8928,1.8145,0.6142,0.612,0.4101,1.3174,-1.4844,0.7135,1.8118,-0.7836,-0.7948,-0.5944
5.5,1.3176,1.3079,-0.8875,1.8281,0.6233,0.6226,0.4184,1.3252,-1.4764,0.7191,1.8205,-0.7726,-0.7853,-0.5843
5.6,1.3343,1.3201,-0.8733,1.8357,0.6376,0.633,0.4313,1.3394,-1.4628,0.735,1.8375,-0.757,-0.773,-0.5741
5.7,1.3514,1.3355,-0.8598,1.856,0.6532,0.6455,0.4454,1.3539,-1.4474,0.7449,1.8512,-0.7424,-0.7578,-0.5593
5.8,1.3639,1.3548,-0.8375,1.8755,0.6724,0.666,0.4646,1.3719,-1.4297,0.7641,1.8694,-0.7257,-0.7391,-0.5416
5.9,1.3886,1.3736,-0.8196,1.894,0.6871,0.6869,0.4831,1.3912,-1.4099,0.7843,1.8877,-0.7075,-0.7193,-0.5178
6.0,1.4056,1.3962,-0.7969,1.9175,0.7124,0.709,0.5055,1.4127,-1.389,0.8066,1.9097,-0.6863,-0.6991,-0.4982
6.1,1.4267,1.4176,-0.7764,1.936,0.7318,0.7255,0.5256,1.4295,-1.3682,0.8272,1.9322,-0.6607,-0.6778,-0.4813
6.2,1.4476,1.4352,-0.7609,1.9557,0.7511,0.7445,0.5465,1.4515,-1.3485,0.8484,1.9519,-0.6435,-0.6602,-0.4576
6.3,1.4654,1.4541,-0.7393,1.9719,0.7696,0.767,0.5639,1.4709,-1.3308,0.863,1.9673,-0.6257,-0.6422,-0.44
6.4,1.4837,1.4704,-0.726,1.9865,0.7875,0.7787,0.5795,1.485,-1.3142,0.8795,1.9852,-0.6122,-0.626,-0.4237
6.5,1.4942,1.4829,-0.7129,2.0,0.8,0.7967,0.5923,1.4969,-1.3023,0.8941,1.997,-0.6035,-0.6127,-0.4107
6.6,1.5023,1.4901,-0.7028,2.0,0.8,0.8,0.6,1.508,-1.2939,0.9017,2.0,-0.589,-0.6046,-0.4042
6.7,1.505,1.4943,-0.7001,2.0,0.8,0.8,0.6,1.512,-1.2897,0.9055,2.0,-0.5838,-0.5996,-0.4021
6.8,1.5047,1.4945,-0.7025,2.0,0.8,0.8,0.6,1.5086,-1.2901,0.9054,2.0,-0.5856,-0.6,-0.396
6.9,1.5038,1.4911,-0.7047,2.0,0.8,0.8,0.5992,1.5068,-1.2942,0.9001,2.0,-0.5912,-0.6032,-0.4023
7.0,1.4951,1.4816,-0.7135,1.9985,0.7985,0.7963,0.5905,1.4992,-1.3026,0.8954,2.0,-0.5963,-0.6133,-0.4111
7.1,1.4813,1.4701,-0.7228,1.9862,0.7838,0.7836,0.5794,1.485,-1.3145,0.8826,1.9832,-0.6119,-0.6253,-0.4251
7.2,1.4631,1.4564,-0.7419,1.9728,0.7707,0.7678,0.5636,1.4705,-1.3303,0.8628,1.9698,-0.6267,-0.6411,-0.4416
7.3,1.4441,1.4353,-0.7566,1.956,0.7537,0.7488,0.5447,1.4554,-1.3485,0.8474,1.9497,-0.6496,-0.6591,-0.4555
7.4,1.4256,1.4156,-0.7752,1.9328,0.7317,0.7266,0.527,1.4357,-1.3682,0.8286,1.9307,-0.6636,-0.6779,-0.4788
7.5,0.2097,-0.478,0.6,0.3956,0.4074,-0.2929,0.1969,0.9101,0.7884,-0.2792,1.7006,-0.4011,0.5098,-0.1774
7.6,0.1904,-0.5041,0.5786,0.3735,0.3855,-0.3133,0.1762,0.887,0.7673,-0.3014,1.6805,-0.4233,0.489,-0.1964
7.7,0.1697,-0.5216,0.56,0.3543,0.3652,-0.3335,0.1563,0.8658,0.7467,-0.3195,1.6584,-0.4449,0.468,-0.2195
7.8,0.1484,-0.5355,0.5397,0.3353,0.35,-0.351,0.1382,0.8475,0.7282,-0.3385,1.6407,-0.4615,0.4505,-0.2363
7.9,0.1354,-0.5535,0.5253,0.3196,0.329,-0.3642,0.1227,0.8335,0.7138,-0.3516,1.6264,-0.4757,0.4321,-0.2528
8.0,0.1213,-0.5653,0.5132,0.3071,0.3198,-0.3783,0.1104,0.8217,0.7018,-0.3688,1.6126,-0.4889,0.4255,-0.2641
8.1,0.1137,-0.5754,0.5072,0.2991,0.3097,-0.387,0.1019,0.8135,0.692,-0.3747,1.6046,-0.4967,0.4173,-0.2725
8.2,0.1092,-0.5816,0.5008,0.2956,0.3073,-0.3899,0.0976,0.8085,0.6894,-0.3813,1.5998,-0.5024,0.4116,-0.2775
8.3,0.1078,-0.5751,0.5001,0.2948,0.3052,-0.3927,0.0975,0.8085,0.6888,-0.3793,1.601,-0.4996,0.4083,-0.2761
8.4,0.1114,-0.5739,0.5066,0.2993,0.3075,-0.3872,0.1019,0.8145,0.6924,-0.3761,1.6045,-0.4995,0.4134,-0.2701
8.5,0.1211,-0.5652,0.5118,0.3079,0.3188,-0.379,0.1103,0.8238,0.702,-0.3666,1.6143,-0.4903,0.4239,-0.2657
8.6,0.1327,-0.5532,0.5254,0.3204,0.3298,-0.3669,0.1226,0.8342,0.7144,-0.3563,1.6248,-0.4742,0.4367,-0.2533
8.7,0.1526,-0.5389,0.5419,0.3361,0.3471,-0.3508,0.1382,0.8498,0.73,-0.3399,1.641,-0.4616,0.4529,-0.2336
