timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0
0.1,-0.1389,0.0,0.0222,1.1733,0.0,0.0,0.0,-0.1278,0.0,-0.0111,1.1733,0.0,0.0,0.0
0.2,-0.2778,0.0,0.0444,1.0667,0.0,0.0,0.0,-0.2556,0.0,-0.0222,1.0667,0.0,0.0,0.0
0.3,-0.4167,0.0,0.0667,0.96,0.0,0.0,0.0,-0.3833,0.0,-0.0333,0.96,0.0,0.0,0.0
0.4,-0.5556,0.0,0.0889,0.8533,0.0,0.0,0.0,-0.5111,0.0,-0.0444,0.8533,0.0,0.0,0.0
0.5,-0.6944,0.0,0.1111,0.7467,0.0,0.0,0.0,-0.6389,0.0,-0.0556,0.7467,0.0,0.0,0.0
0.6,-0.8333,0.0,0.1333,0.64,0.0,0.0,0.0,-0.7667,0.0,-0.0667,0.64,0.0,0.0,0.0
0.7,-0.9722,0.0,0.1556,0.5333,0.0,0.0,0.0,-0.8944,0.0,-0.0778,0.5333,0.0,0.0,0.0
0.8,-1.1111,0.0,0.1778,0.4267,0.0,0.0,0.0,-1.0222,0.0,-0.0889,0.4267,0.0,0.0,0.0
0.9,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-1.15,0.0,-0.1,0.32,0.0,0.0,0.0
1.0,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-1.005,0.0,-0.1,0.278,0.0,0.0,0.0
1.1,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.86,0.0,-0.1,0.236,0.0,0.0,0.0
1.2,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.715,0.0,-0.1,0.194,0.0,0.0,0.0
1.3,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.57,0.0,-0.1,0.152,0.0,0.0,0.0
1.4,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.425,0.0,-0.1,0.11,0.0,0.0,0.0
1.5,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.28,0.0,-0.1,0.068,0.0,0.0,0.0
1.6,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.135,0.0,-0.1,0.026,0.0,0.0,0.0
1.7,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,0.01,0.0,-0.1,-0.016,0.0,0.0,0.0
1.8,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,0.155,0.0,-0.1,-0.058,0.0,0.0,0.0
1.9,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,0.3,0.0,-0.1,-0.1,0.0,0.0,0.0
2.0,-1.25,0.0,0.2,0.2853,0.0,0.0,0.0,0.1567,0.0,-0.11,-0.0433,0.0,0.0,0.1
2.1,-1.25,0.0,0.2,0.2507,0.0,0.0,0.0,0.0133,0.0,-0.12,0.0133,0.0,0.0,0.2
2.2,-1.25,0.0,0.2,0.216,0.0,0.0,0.0,-0.13,0.0,-0.13,0.07,0.0,0.0,0.3
2.3,-1.25,0.0,0.2,0.1813,0.0,0.0,0.0,-0.2733,0.0,-0.14,0.1267,0.0,0.0,0.4
2.4,-1.25,0.0,0.2,0.1467,0.0,0.0,0.0,-0.4167,0.0,-0.15,0.1833,0.0,0.0,0.5
2.5,-1.25,0.0,0.2,0.112,0.0,0.0,0.0,-0.56,0.0,-0.16,0.24,0.0,0.0,0.6
2.6,-1.25,0.0,0.2,0.0773,0.0,0.0,0.0,-0.7033,0.0,-0.17,0.2967,0.0,0.0,0.7
2.7,-1.25,0.0,0.2,0.0427,0.0,0.0,0.0,-0.8467,0.0,-0.18,0.3533,0.0,0.0,0.8
2.8,-1.25,0.0,0.2,0.008,0.0,0.0,0.0,-0.99,0.0,-0.19,0.41,0.0,0.0,0.9
2.9,-1.25,0.0,0.2,-0.0267,0.0,0.0,0.0,-1.1333,0.0,-0.2,0.4667,0.0,0.0,1.0
3.0,-1.25,0.0,0.2,-0.0613,0.0,0.0,0.0,-1.2767,0.0,-0.21,0.5233,0.0,0.0,1.1
3.1,-1.25,0.0,0.2,-0.096,0.0,0.0,0.0,-1.42,0.0,-0.22,0.58,0.0,0.0,1.2
3.2,-1.25,0.0,0.2,-0.1307,0.0,0.0,0.0,-1.5633,0.0,-0.23,0.6367,0.0,0.0,1.3
3.3,-1.25,0.0,0.2,-0.1653,0.0,0.0,0.0,-1.7067,0.0,-0.24,0.6933,0.0,0.0,1.4
3.4,-1.25,0.0,0.2,-0.2,0.0,0.0,0.0,-1.85,0.0,-0.25,0.75,0.0,0.0,1.5
3.5,-1.1538,0.0,0.1846,-0.0862,0.0,0.0,0.0,-1.7077,0.0,-0.2308,0.7908,0.0,0.0,1.3846
3.6,-1.0577,0.0,0.1692,0.0277,0.0,0.0,0.0,-1.5654,0.0,-0.2115,0.8315,0.0,0.0,1.2692
3.7,-0.9615,0.0,0.1538,0.1415,0.0,0.0,0.0,-1.4231,0.0,-0.1923,0.8723,0.0,0.0,1.1538
3.8,-0.8654,0.0,0.1385,0.2554,0.0,0.0,0.0,-1.2808,0.0,-0.1731,0.9131,0.0,0.0,1.0385
3.9,-0.7692,0.0,0.1231,0.3692,0.0,0.0,0.0,-1.1385,0.0,-0.1538,0.9538,0.0,0.0,0.9231
4.0,-0.6731,0.0,0.1077,0.4831,0.0,0.0,0.0,-0.9962,0.0,-0.1346,0.9946,0.0,0.0,0.8077
4.1,-0.5769,0.0,0.0923,0.5969,0.0,0.0,0.0,-0.8538,0.0,-0.1154,1.0354,0.0,0.0,0.6923
4.2,-0.4808,0.0,0.0769,0.7108,0.0,0.0,0.0,-0.7115,0.0,-0.0962,1.0762,0.0,0.0,0.5769
4.3,-0.3846,0.0,0.0615,0.8246,0.0,0.0,0.0,-0.5692,0.0,-0.0769,1.1169,0.0,0.0,0.4615
4.4,-0.2885,0.0,0.0462,0.9385,0.0,0.0,0.0,-0.4269,0.0,-0.0577,1.1577,0.0,0.0,0.3462
