timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0
0.1,-0.13,0.0,0.02,1.17,0.0,0.0,0.0,-0.12,0.0,-0.01,1.17,0.0,0.0,0.0
0.2,-0.27,0.0,0.04,1.06,0.0,0.0,0.0,-0.25,0.0,-0.02,1.06,0.0,0.0,0.0
0.3,-0.41,0.0,0.06,0.96,0.0,0.0,0.0,-0.38,0.0,-0.03,0.96,0.0,0.0,0.0
0.4,-0.55,0.0,0.08,0.85,0.0,0.0,0.0,-0.51,0.0,-0.04,0.85,0.0,0.0,0.0
0.5,-0.69,0.0,0.11,0.74,0.0,0.0,0.0,-0.63,0.0,-0.05,0.74,0.0,0.0,0.0
0.6,-0.83,0.0,0.13,0.64,0.0,0.0,0.0,-0.76,0.0,-0.06,0.64,0.0,0.0,0.0
0.7,-0.97,0.0,0.15,0.53,0.0,0.0,0.0,-0.89,0.0,-0.07,0.53,0.0,0.0,0.0
0.8,-1.11,0.0,0.17,0.42,0.0,0.0,0.0,-1.02,0.0,-0.08,0.42,0.0,0.0,0.0
0.9,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-1.15,0.0,-0.10,0.32,0.0,0.0,0.0
1.0,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-1.00,0.0,-0.12,0.27,0.0,0.0,0.0
1.1,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.86,0.0,-0.07,0.23,0.0,0.0,0.0
1.2,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.71,0.0,-0.09,0.19,0.0,0.0,0.0
1.3,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.57,0.0,-0.13,0.15,0.0,0.0,0.0
1.4,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.42,0.0,-0.12,0.11,0.0,0.0,0.0
1.5,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.28,0.0,-0.10,0.06,0.0,0.0,0.0
1.6,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,-0.13,0.0,-0.13,0.02,0.0,0.0,0.0
1.7,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,0.01,0.0,-0.08,-0.01,0.0,0.0,0.0
1.8,-1.25,0.0,0.2,0.32,0.0,0.0,0.0,0.15,0.0,-0.8,-0.05,0.0,0.0,0.0
