timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,-1.25,0.0,0.2,-0.2,0.0,0.0,0.0,-1.85,0.0,-0.25,0.75,0.0,0.0,1.5
0.1,-1.1538,0.0,0.1846,-0.0862,0.0,0.0,0.0,-1.7077,0.0,-0.2308,0.7908,0.0,0.0,1.3846
0.2,-1.0577,0.0,0.1692,0.0277,0.0,0.0,0.0,-1.5654,0.0,-0.2115,0.8315,0.0,0.0,1.2692
0.3,-0.9615,0.0,0.1538,0.1415,0.0,0.0,0.0,-1.4231,0.0,-0.1923,0.8723,0.0,0.0,1.1538
0.4,-0.8654,0.0,0.1385,0.2554,0.0,0.0,0.0,-1.2808,0.0,-0.1731,0.9131,0.0,0.0,1.0385
0.5,-0.7692,0.0,0.1231,0.3692,0.0,0.0,0.0,-1.1385,0.0,-0.1538,0.9538,0.0,0.0,0.9231
0.6,-0.6731,0.0,0.1077,0.4831,0.0,0.0,0.0,-0.9962,0.0,-0.1346,0.9946,0.0,0.0,0.8077
0.7,-0.5769,0.0,0.0923,0.5969,0.0,0.0,0.0,-0.8538,0.0,-0.1154,1.0354,0.0,0.0,0.6923
0.8,-0.4808,0.0,0.0769,0.7108,0.0,0.0,0.0,-0.7115,0.0,-0.0962,1.0762,0.0,0.0,0.5769
0.9,-0.3846,0.0,0.0615,0.8246,0.0,0.0,0.0,-0.5692,0.0,-0.0769,1.1169,0.0,0.0,0.4615
1.0,-0.2885,0.0,0.0462,0.9385,0.0,0.0,0.0,-0.4269,0.0,-0.0577,1.1577,0.0,0.0,0.3462
1.1,-0.1923,0.0,0.0308,1.0523,0.0,0.0,0.0,-0.2846,0.0,-0.0385,1.1985,0.0,0.0,0.2308
1.2,-0.0962,0.0,0.0154,1.1662,0.0,0.0,0.0,-0.1423,0.0,-0.0192,1.2392,0.0,0.0,0.1154
1.3,0.0,0.0,0.0,1.28,0.0,0.0,0.0,-0.0,0.0,-0.0,1.28,0.0,0.0,-0.0
