timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.500,-1.224002,2.364913,-0.354904,2.094400,-0.092795,-0.305596,0.000000,-1.194153,-2.618000,-0.453695,2.094400,0.219671,-0.438262,0.000000
0.550,-1.229964,2.486091,-0.433238,2.094400,-0.052030,-0.341654,0.000000,-1.194948,-2.618000,-0.437850,2.094400,0.214698,-0.432966,0.000000
0.600,-1.187334,2.510952,-0.474608,2.094400,-0.056869,-0.394539,0.000000,-1.194856,-2.618000,-0.456591,2.094400,0.208676,-0.437419,0.000000
0.650,-1.180535,2.466685,-0.343003,2.094400,-0.037780,-0.379156,0.000000,-1.212379,-2.618000,-0.420753,2.094400,0.185393,-0.419900,0.000000
0.700,-1.120159,2.357510,-0.216464,2.094400,-0.083741,-0.378651,0.000000,-1.220593,-2.618000,-0.389152,2.094400,0.169605,-0.407532,0.000000
0.750,-1.064083,2.286074,-0.152288,2.094400,-0.138657,-0.384996,0.000000,-1.249121,2.618000,-0.254191,2.094400,0.130220,-0.355751,0.000000
0.800,-1.040844,2.291587,-0.176708,2.094400,-0.158654,-0.409553,0.000000,-1.241101,2.618000,-0.291874,2.094400,0.128959,-0.370010,0.000000
0.850,-1.000484,2.258053,-0.170397,2.094400,-0.195728,-0.426802,0.000000,-1.237912,-2.618000,-0.304251,2.094400,0.145469,-0.375834,0.000000
0.900,-0.975952,2.225705,-0.186869,2.094400,-0.214990,-0.437704,0.000000,-1.233696,-2.618000,-0.328526,2.094400,0.165663,-0.380959,0.000000
0.950,-0.956469,2.205525,-0.234397,2.094400,-0.242778,-0.454069,0.000000,-1.233564,-2.618000,-0.304636,2.094400,0.165084,-0.379201,0.000000
1.000,-0.901104,2.137116,-0.246908,2.094400,-0.301732,-0.467889,0.000000,-1.247796,-2.618000,-0.225161,2.094400,0.146278,-0.353801,0.000000
1.050,-0.899822,2.128872,-0.255732,2.094400,-0.311655,-0.465400,0.000000,-1.246890,2.618000,-0.229528,2.094400,0.137771,-0.355111,0.000000
1.100,-0.857611,2.069157,-0.234557,2.094400,-0.358754,-0.459709,0.000000,-1.258123,2.618000,-0.178733,2.094400,0.125108,-0.336196,0.000000
1.150,-0.860989,2.078486,-0.254329,2.094400,-0.365816,-0.464838,0.000000,-1.253143,2.618000,-0.179138,2.094400,0.121302,-0.340772,0.000000
1.200,-0.868285,2.067360,-0.294338,2.094400,-0.366014,-0.462932,0.000000,-1.243536,2.618000,-0.171163,2.094400,0.124519,-0.351757,0.000000
1.250,-0.873681,2.068338,-0.298134,2.094400,-0.363146,-0.460002,0.000000,-1.235899,2.618000,-0.182834,2.094400,0.120302,-0.360333,0.000000
1.300,-0.869527,2.062931,-0.296796,2.094400,-0.370750,-0.458857,0.000000,-1.239319,-2.618000,-0.195911,2.094400,0.133325,-0.356587,0.000000
1.350,-0.868071,2.066072,-0.293260,2.094400,-0.371074,-0.460751,0.000000,-1.239091,2.618000,-0.200359,2.094400,0.122163,-0.357395,0.000000
1.400,-0.875772,2.081849,-0.298796,2.094400,-0.359176,-0.465572,0.000000,-1.243420,2.618000,-0.203023,2.094400,0.114442,-0.352967,0.000000
1.450,-0.873813,2.082440,-0.286546,2.094400,-0.359357,-0.464560,0.000000,-1.235313,2.618000,-0.177972,2.094400,0.119158,-0.359787,0.000000
1.500,-0.919835,2.147941,-0.289069,2.094400,-0.312918,-0.462022,0.000000,-1.230573,2.618000,-0.225959,2.094400,0.117405,-0.369672,0.000000
1.550,-0.922415,2.147977,-0.318315,2.094400,-0.313878,-0.465974,0.000000,-1.213162,2.618000,-0.290073,2.094400,0.116112,-0.395804,0.000000
1.600,-0.955807,2.224270,-0.436732,2.094400,-0.281483,-0.493556,0.000000,-1.176888,2.618000,-0.399676,2.094400,0.142002,-0.453443,0.000000
1.650,-1.042328,2.395953,-0.507635,2.094400,-0.163477,-0.498836,0.000000,-1.162561,2.618000,-0.467733,2.094400,0.154722,-0.480726,0.000000
1.700,-1.101541,2.503650,-0.649383,2.094400,-0.086261,-0.511458,0.000000,-1.148054,-2.618000,-0.536512,2.094400,0.198983,-0.511933,0.000000
1.750,-1.120009,2.560606,-0.721683,2.094400,-0.080172,-0.508544,0.000000,-1.133404,-2.618000,-0.595842,2.094400,0.219697,-0.535665,0.000000
1.800,-1.110825,2.497088,-0.562141,2.094400,-0.098616,-0.474365,0.000000,-1.141623,-2.618000,-0.584232,2.094400,0.218019,-0.525601,0.000000
