timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.135,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,-0.21,2.00,0.00,0.00,0.00
0.386,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,-0.15,2.00,0.00,0.00,0.00
0.692,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,-0.21,2.00,0.00,0.00,0.00
0.909,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,-0.31,2.00,0.00,0.00,0.00
1.168,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,-0.18,2.00,0.00,0.00,0.00
1.385,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.71,0.00,0.78,2.00,0.00,0.00,0.00
1.618,-0.19,0.00,1.57,1.18,0.00,0.00,0.00,-0.12,0.00,0.79,1.65,0.00,0.00,0.00
1.859,0.11,0.00,1.57,1.47,0.00,0.00,0.00,0.24,0.00,0.99,1.83,0.00,0.00,0.00
2.228,0.11,0.00,1.57,1.64,0.00,0.00,0.00,0.17,0.00,1.12,1.92,0.00,0.00,0.00
2.491,0.04,0.00,1.57,1.53,0.00,0.00,0.00,0.16,0.00,1.04,1.78,0.00,0.00,0.00
2.724,0.04,0.00,1.57,1.64,0.00,0.00,0.00,0.23,0.00,1.04,1.83,0.00,0.00,0.00
3.017,0.05,0.00,1.57,1.68,0.00,0.00,0.00,0.19,0.00,1.10,1.87,0.00,0.00,0.00
3.290,0.05,0.00,1.57,1.74,0.00,0.00,0.00,0.17,0.00,1.12,1.88,0.00,0.00,0.00
3.601,0.04,0.00,1.57,1.35,0.00,0.00,0.00,0.25,0.00,0.98,2.00,0.00,0.00,0.00
3.829,0.10,0.00,1.57,1.42,0.00,0.00,0.00,0.21,0.00,0.94,2.00,0.00,0.00,0.00
4.059,-0.16,0.00,1.57,1.51,0.00,0.00,0.00,0.35,0.00,0.70,2.00,0.00,0.00,0.00
4.295,-0.32,0.00,1.57,1.21,0.00,0.00,0.00,-0.90,0.00,0.93,2.00,0.00,0.00,0.00
4.526,-0.21,0.00,1.57,1.57,0.00,0.00,0.00,0.20,0.00,0.92,1.76,0.00,0.00,0.00
4.785,-0.02,0.00,1.57,1.58,0.00,0.00,0.00,0.11,0.00,0.99,1.74,0.00,0.00,0.00
5.072,0.00,0.00,1.57,1.54,0.00,0.00,0.00,0.01,0.00,1.00,1.68,0.00,0.00,0.00
5.304,0.27,0.00,1.57,1.93,0.00,0.00,0.00,0.07,0.00,1.00,1.73,0.00,0.00,0.00
5.542,-0.05,0.00,1.57,1.87,0.00,0.00,0.00,0.09,0.00,0.98,1.74,0.00,0.00,0.00
5.806,0.07,0.00,1.57,1.62,0.00,0.00,0.00,0.05,0.00,1.00,1.72,0.00,0.00,0.00
6.067,-0.18,0.00,1.57,1.42,0.00,0.00,0.00,0.01,0.00,1.08,1.77,0.00,0.00,0.00
6.319,-0.32,0.00,1.57,1.37,0.00,0.00,0.00,0.25,0.00,0.83,1.74,0.00,0.00,0.00
6.596,-0.40,0.00,1.57,1.14,0.00,0.00,0.00,0.10,0.00,0.83,2.00,0.00,0.00,0.00
6.841,-0.33,0.00,1.57,1.25,0.00,0.00,0.00,0.06,0.00,0.81,1.72,0.00,0.00,0.00
7.106,-0.22,0.00,1.57,1.29,0.00,0.00,0.00,-0.05,0.00,1.01,1.75,0.00,0.00,0.00
7.385,-0.46,0.00,1.57,1.31,0.00,0.00,0.00,-0.36,0.00,0.99,1.83,0.00,0.00,0.00
7.657,-0.90,0.00,1.57,2.00,0.00,0.00,0.00,-0.90,0.00,0.45,2.00,0.00,0.00,0.00
