timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,-0.4179,-0.0000,0.2636,1.1945,0.0000,0.0000,0.0000,0.2910,0.0000,-0.2170,0.9412,0.0000,0.0000,0.0000
0.1,-0.3938,-0.0000,0.2630,1.2283,0.0000,0.0000,0.0000,0.2642,0.0000,-0.2197,0.9748,0.0000,0.0000,0.0000
0.2,-0.3392,-0.0000,0.2620,1.2481,0.0000,0.0000,0.0000,0.2378,0.0000,-0.2235,1.0016,0.0000,0.0000,0.0000
0.3,-0.2818,-0.0000,0.2605,1.2373,0.0000,0.0000,0.0000,0.2227,0.0000,-0.2247,1.0142,0.0000,0.0000,0.0000
0.4,-0.3419,-0.0000,0.2622,1.2266,0.0000,0.0000,0.0000,0.2604,0.0000,-0.2257,1.0629,0.0000,0.0000,0.0000
0.5,-0.4005,-0.0000,0.2662,1.1647,0.0000,0.0000,0.0000,0.2927,0.0000,-0.2259,1.0719,0.0000,0.0000,0.0000
0.6,-0.4440,-0.0000,0.2696,1.1504,0.0000,0.0000,0.0000,0.3152,0.0000,-0.2257,1.0787,0.0000,0.0000,0.0000
0.7,-0.4271,-0.0000,0.2631,1.1205,0.0000,0.0000,0.0000,0.3305,0.0000,-0.2254,1.0848,0.0000,0.0000,0.0000
0.8,-0.4326,-0.0000,0.2618,1.1202,0.0000,0.0000,0.0000,0.3430,0.0000,-0.2252,1.0936,0.0000,0.0000,0.0000
0.9,-0.4436,-0.0000,0.2622,1.1244,0.0000,0.0000,0.0000,0.3500,0.0000,-0.2249,1.1001,0.0000,0.0000,0.0000
1.0,-0.4531,-0.0000,0.2630,1.1326,0.0000,0.0000,0.0000,0.3583,0.0000,-0.2248,1.1127,0.0000,0.0000,0.0000
1.1,-0.4597,-0.0000,0.2635,1.1379,0.0000,0.0000,0.0000,0.3626,0.0000,-0.2246,1.1201,0.0000,0.0000,0.0000
1.2,-0.4595,-0.0000,0.2631,1.1440,0.0000,0.0000,0.0000,0.3692,0.0000,-0.2247,1.1266,0.0000,0.0000,0.0000
1.3,-0.4493,-0.0000,0.2610,1.1500,0.0000,0.0000,0.0000,0.3816,0.0000,-0.2253,1.1250,0.0000,0.0000,0.0000
1.4,-0.4446,-0.0000,0.2601,1.1547,0.0000,0.0000,0.0000,0.3871,0.0000,-0.2255,1.1278,0.0000,0.0000,0.0000
1.5,-0.4413,-0.0000,0.2594,1.1614,0.0000,0.0000,0.0000,0.3893,0.0000,-0.2254,1.1372,0.0000,0.0000,0.0000
1.6,-0.4461,-0.0000,0.2602,1.1635,0.0000,0.0000,0.0000,0.3876,0.0000,-0.2251,1.1415,0.0000,0.0000,0.0000
1.7,-0.4647,-0.0000,0.2633,1.1792,0.0000,0.0000,0.0000,0.3817,0.0000,-0.2246,1.1561,0.0000,0.0000,0.0000
1.8,-0.4711,-0.0000,0.2643,1.2112,0.0000,0.0000,0.0000,0.3809,0.0000,-0.2241,1.1520,0.0000,0.0000,0.0000
1.9,-0.4719,-0.0000,0.2644,1.2212,0.0000,0.0000,0.0000,0.3858,0.0000,-0.2242,1.1468,0.0000,0.0000,0.0000
2.0,-0.4689,-0.0000,0.2636,1.2280,0.0000,0.0000,0.0000,0.3871,0.0000,-0.2237,1.1525,0.0000,0.0000,0.0000
2.1,-0.4836,-0.0000,0.2662,1.2241,0.0000,0.0000,0.0000,0.3664,0.0000,-0.2220,1.1542,0.0000,0.0000,0.0000
2.2,-0.5739,-0.0000,0.2830,0.9776,0.0000,0.0000,0.0000,0.3380,0.0000,-0.2189,0.9115,0.0000,0.0000,0.0000
2.3,-0.7324,0.0000,0.3252,0.6843,0.0000,0.0000,0.0000,0.1975,-0.0000,-0.2045,0.6077,0.0000,0.0000,0.0000
2.4,-0.8584,-0.0000,0.3872,0.5406,0.0000,0.0000,0.0000,-0.0028,0.0000,-0.1923,0.4589,0.0000,0.0000,0.0000
2.5,-0.9238,-0.0000,0.4241,0.4701,0.0000,0.0000,0.0000,-0.1712,0.0000,-0.1989,0.3860,0.0000,0.0000,0.0000
2.6,-0.9507,-0.0000,0.4405,0.4356,0.0000,0.0000,0.0000,-0.2641,0.0000,-0.2071,0.3502,0.0000,0.0000,0.0000
2.7,-0.9678,-0.0000,0.4479,0.4257,0.0000,0.0000,0.0000,-0.2883,0.0000,-0.2115,0.3399,0.0000,0.0000,0.0000
2.8,-0.9814,-0.0000,0.4532,0.4187,0.0000,0.0000,0.0000,-0.3092,0.0000,-0.2163,0.3327,0.0000,0.0000,0.0000
2.9,-0.9854,-0.0000,0.4561,0.4138,0.0000,0.0000,0.0000,-0.3287,0.0000,-0.2228,0.3277,0.0000,0.0000,0.0000
3.0,-1.0007,-0.0000,0.4643,0.4080,0.0000,0.0000,0.0000,-0.3735,0.0000,-0.2390,0.3217,0.0000,0.0000,0.0000
3.1,-1.0144,-0.0000,0.4625,0.4052,0.0000,0.0000,0.0000,-0.1604,0.0000,-0.2335,0.3187,0.0000,0.0000,0.0000
3.2,-1.0246,-0.0000,0.4597,0.4044,0.0000,0.0000,0.0000,-0.0027,0.0000,-0.2300,0.5015,0.0000,0.0000,0.0000
3.3,-0.9692,-0.0000,0.4308,0.4034,0.0000,0.0000,0.0000,0.1569,0.0000,-0.2237,0.8557,0.0000,0.0000,0.0000
3.4,-0.9736,-0.0000,0.4271,0.4031,0.0000,0.0000,0.0000,0.2153,0.0000,-0.2224,0.9482,0.0000,0.0000,0.0000
3.5,-0.9644,-0.0000,0.4229,0.4029,0.0000,0.0000,0.0000,0.2551,0.0000,-0.2212,1.0070,0.0000,0.0000,0.0000
3.6,-0.9633,-0.0000,0.4202,0.4028,0.0000,0.0000,0.0000,0.2879,0.0000,-0.2208,1.0442,0.0000,0.0000,0.0000
