timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.3584,0.0713,-0.4977,1.2311,0.0000,0.0000,0.0000,0.2087,-0.2520,-0.4173,1.2142,0.0000,0.0000,0.0000
0.1,0.4234,0.0603,-0.4331,1.2514,0.0000,0.0000,0.0000,0.1912,-0.2479,-0.4279,1.2112,0.0000,0.0000,0.0000
0.2,0.4979,0.0620,-0.3442,1.2753,0.0000,0.0000,0.0000,0.1849,-0.2506,-0.4336,1.2245,0.0000,0.0000,0.0000
0.3,0.5714,0.0814,-0.2011,1.3086,0.0000,0.0000,0.0000,0.1778,-0.2524,-0.4367,1.2376,0.0000,0.0000,0.0000
0.4,0.3304,0.2625,2.0237,1.2544,0.0000,0.0000,0.0000,0.2563,-0.2672,1.3548,1.2949,0.0000,0.0000,0.0000
0.5,0.1521,0.3692,3.0703,1.2270,0.0000,0.0000,0.0000,0.2844,-0.2831,2.2135,1.3203,0.0000,0.0000,0.0000
0.6,0.0666,0.4178,3.5495,1.2574,0.0000,0.0000,0.0000,0.3040,-0.2945,2.7339,1.3130,0.0000,0.0000,0.0000
0.7,0.0327,0.4381,3.8888,1.2873,0.0000,0.0000,0.0000,0.3193,-0.3089,3.0368,1.3141,0.0000,0.0000,0.0000
0.8,0.0151,0.4474,4.1217,1.2861,0.0000,0.0000,0.0000,0.3280,-0.3250,3.1010,1.3146,0.0000,0.0000,0.0000
0.9,0.0005,0.4472,4.2777,1.2887,0.0000,0.0000,0.0000,0.3298,-0.3396,3.1081,1.3253,0.0000,0.0000,0.0000
1.0,-0.0087,0.4428,4.3216,1.3027,0.0000,0.0000,0.0000,0.3332,-0.3514,3.0818,1.3366,0.0000,0.0000,0.0000
1.1,-0.0045,0.4355,4.3770,1.3145,0.0000,0.0000,0.0000,0.3357,-0.3612,3.0458,1.3519,0.0000,0.0000,0.0000
1.2,0.0092,0.4290,4.2850,1.3468,0.0000,0.0000,0.0000,0.3383,-0.3662,3.0374,1.3731,0.0000,0.0000,0.0000
1.3,0.0233,0.4207,4.1575,1.3777,0.0000,0.0000,0.0000,0.3384,-0.3682,3.0321,1.3895,0.0000,0.0000,0.0000
1.4,0.0375,0.4122,3.9743,1.4037,0.0000,0.0000,0.0000,0.3392,-0.3670,3.0187,1.3970,0.0000,0.0000,0.0000
1.5,0.0484,0.4051,3.7590,1.4211,0.0000,0.0000,0.0000,0.3418,-0.3651,2.9963,1.4000,0.0000,0.0000,0.0000
1.6,0.0447,0.3995,3.7260,1.4321,0.0000,0.0000,0.0000,0.3412,-0.3623,3.0006,1.4041,0.0000,0.0000,0.0000
1.7,0.0310,0.3973,3.7621,1.4321,0.0000,0.0000,0.0000,0.3392,-0.3600,3.0233,1.4078,0.0000,0.0000,0.0000
1.8,0.0194,0.3952,3.8673,1.4258,0.0000,0.0000,0.0000,0.3444,-0.3583,2.9602,1.3981,0.0000,0.0000,0.0000
1.9,0.0148,0.3942,3.9467,1.4194,0.0000,0.0000,0.0000,0.3468,-0.3559,2.9371,1.3908,0.0000,0.0000,0.0000
2.0,0.0133,0.3926,4.0007,1.4176,0.0000,0.0000,0.0000,0.3489,-0.3544,2.9132,1.3849,0.0000,0.0000,0.0000
2.1,0.0175,0.3892,4.0435,1.4184,0.0000,0.0000,0.0000,0.3494,-0.3528,2.8778,1.3759,0.0000,0.0000,0.0000
2.2,0.0216,0.3871,4.1193,1.4132,0.0000,0.0000,0.0000,0.3498,-0.3513,2.8643,1.3693,0.0000,0.0000,0.0000
2.3,0.0357,0.3866,4.1169,1.4148,0.0000,0.0000,0.0000,0.3490,-0.3497,2.8644,1.3665,0.0000,0.0000,0.0000
2.4,0.0446,0.3859,4.1091,1.4162,0.0000,0.0000,0.0000,0.3502,-0.3459,2.8609,1.3585,0.0000,0.0000,0.0000
2.5,0.0449,0.3838,4.1156,1.4152,0.0000,0.0000,0.0000,0.3481,-0.3424,2.8600,1.3557,0.0000,0.0000,0.0000
2.6,0.0417,0.3816,4.1668,1.4093,0.0000,0.0000,0.0000,0.3519,-0.3402,2.8574,1.3529,0.0000,0.0000,0.0000
2.7,0.0513,0.3789,4.1857,1.4102,0.0000,0.0000,0.0000,0.3563,-0.3383,2.8876,1.3559,0.0000,0.0000,0.0000
2.8,0.0555,0.3775,4.1890,1.4109,0.0000,0.0000,0.0000,0.3595,-0.3348,2.9301,1.3560,0.0000,0.0000,0.0000
2.9,0.0562,0.3770,4.2201,1.4076,0.0000,0.0000,0.0000,0.3636,-0.3288,2.9742,1.3495,0.0000,0.0000,0.0000
3.0,0.0604,0.3772,4.2460,1.4043,0.0000,0.0000,0.0000,0.3667,-0.3244,3.0049,1.3438,0.0000,0.0000,0.0000
3.1,0.0623,0.3776,4.2570,1.4023,0.0000,0.0000,0.0000,0.3689,-0.3201,3.0317,1.3371,0.0000,0.0000,0.0000
3.2,0.0814,0.3790,4.2477,1.4030,0.0000,0.0000,0.0000,0.3784,-0.3171,3.0354,1.3299,0.0000,0.0000,0.0000
3.3,0.0884,0.3799,4.2728,1.3995,0.0000,0.0000,0.0000,0.3792,-0.3157,3.0928,1.3249,0.0000,0.0000,0.0000
3.4,0.0878,0.3802,4.3498,1.3832,0.0000,0.0000,0.0000,0.3785,-0.3170,3.1516,1.3168,0.0000,0.0000,0.0000
3.5,0.0909,0.3797,4.4236,1.3632,0.0000,0.0000,0.0000,0.3864,-0.3208,3.2004,1.3031,0.0000,0.0000,0.0000
3.6,0.0927,0.3787,4.4430,1.3605,0.0000,0.0000,0.0000,0.3877,-0.3352,3.1777,1.2920,0.0000,0.0000,0.0000
