frame,timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_roll_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_roll_joint,left_wrist_yaw_joint
1,2025-07-17T23:29:31.041288,0.1574077308177948,-0.4329104721546173,-0.05877383425831795,0.2590138614177704,-0.24775992333889008,-0.060456037521362305,0.27026164531707764,-0.07208729535341263,-0.15732359886169434,-0.15690864622592926,-0.4215494692325592,-0.10174918174743652,-0.252093642950058,-0.19073191285133362,-0.08436226844787598,-0.2529344856739044,-0.02960740029811859,-0.1759089231491089,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
2,2025-07-17T23:29:31.092200,0.1543639898300171,-0.44021421670913696,-0.057555560022592545,0.25676655769348145,-0.2554931640625,-0.08378052711486816,0.2715548276901245,-0.07209997624158859,-0.21592426300048828,-0.1665470004081726,-0.42291659116744995,-0.10099315643310547,-0.25156477093696594,-0.18679791688919067,-0.10337913781404495,-0.25759828090667725,-0.022236045449972153,-0.21606814861297607,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
3,2025-07-17T23:29:31.195619,0.1533215194940567,-0.429955393075943,-0.04965781792998314,0.2550927996635437,-0.23817303776741028,-0.051419734954833984,0.263202041387558,-0.06222544237971306,-0.14943146705627441,-0.1581273227930069,-0.422404944896698,-0.09241008758544922,-0.2493424266576767,-0.19188302755355835,-0.07253676652908325,-0.25690147280693054,-0.03496239706873894,-0.16501808166503906,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
4,2025-07-17T23:29:31.324927,0.15631698071956635,-0.4351660907268524,-0.05584370344877243,0.25850948691368103,-0.24081075191497803,-0.0807257890701294,0.26940518617630005,-0.05852796509861946,-0.19933629035949707,-0.16454924643039703,-0.4209757447242737,-0.0953531265258789,-0.24766533076763153,-0.18502965569496155,-0.08549689501523972,-0.25184574723243713,-0.016880419105291367,-0.18452155590057373,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
5,2025-07-17T23:29:31.425335,0.1565559357404709,-0.4329884946346283,-0.058123983442783356,0.26395541429519653,-0.2484440803527832,-0.06686902046203613,0.28138503432273865,-0.07026773691177368,-0.17199444770812988,-0.1604641228914261,-0.4198458790779114,-0.10442399978637695,-0.24174444377422333,-0.18662065267562866,-0.0859413594007492,-0.24475623667240143,-0.017620250582695007,-0.17599833011627197,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
6,2025-07-17T23:29:31.524993,0.15747152268886566,-0.4329639971256256,-0.05811493843793869,0.26156148314476013,-0.24157476425170898,-0.06952023506164551,0.26836565136909485,-0.06262495368719101,-0.17042040824890137,-0.1588853895664215,-0.42452874779701233,-0.09473347663879395,-0.25085464119911194,-0.1925116926431656,-0.07061340659856796,-0.2488977164030075,-0.027042824774980545,-0.15753591060638428,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
7,2025-07-17T23:29:31.629781,0.15986502170562744,-0.43840616941452026,-0.05774178355932236,0.2607658803462982,-0.24729718267917633,-0.08560013771057129,0.2675969898700714,-0.05822426825761795,-0.20837092399597168,-0.1666489541530609,-0.4249902367591858,-0.09811544418334961,-0.25261351466178894,-0.19305388629436493,-0.08553893864154816,-0.24967455863952637,-0.02335493639111519,-0.18206119537353516,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
8,2025-07-17T23:29:31.724483,0.1631224900484085,-0.43980491161346436,-0.061906374990940094,0.2617015242576599,-0.24784046411514282,-0.09145081043243408,0.27339741587638855,-0.059822436422109604,-0.2208542823791504,-0.1659453958272934,-0.4250451922416687,-0.1035456657409668,-0.2478722482919693,-0.1943216174840927,-0.10061068832874298,-0.24541646242141724,-0.027121448889374733,-0.20643746852874756,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
9,2025-07-17T23:29:31.822594,0.15104538202285767,-0.42712751030921936,-0.05442072078585625,0.25530150532722473,-0.23191829025745392,-0.07996726036071777,0.25388410687446594,-0.05513627082109451,-0.18607521057128906,-0.16157840192317963,-0.42143192887306213,-0.09037232398986816,-0.24680113792419434,-0.1828504502773285,-0.08296817541122437,-0.2374141961336136,-0.016031628474593163,-0.1802738904953003,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
10,2025-07-17T23:29:31.923476,0.15788844227790833,-0.4312514662742615,-0.05130675062537193,0.2469588816165924,-0.23411746323108673,-0.07171463966369629,0.25549373030662537,-0.05150086432695389,-0.18594694137573242,-0.15887783467769623,-0.424202561378479,-0.10254883766174316,-0.24208477139472961,-0.19155439734458923,-0.09177377074956894,-0.23960113525390625,-0.017432523891329765,-0.1886965036392212,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
